No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Besi 6.3 mm;01/02/2022;-;-;-;82642
2;Besi 6.3 mm;01/03/2022;-;-;-;82920
3;Besi 6.3 mm;01/04/2022;-;-;-;77808
4;Besi 6.3 mm;01/05/2022;-;-;-;63456
5;Besi 6.3 mm;01/06/2022;-;-;-;87464
6;Besi 6.3 mm;01/07/2022;-;-;-;91689
7;Besi 6.3 mm;01/08/2022;-;-;-;105415
8;Besi 6.3 mm;01/09/2022;-;-;-;89122
9;Besi 6.3 mm;01/10/2022;-;-;-;75775
10;Besi 6.3 mm;01/11/2022;-;-;-;67074
11;Besi 6.3 mm;01/12/2022;-;-;-;82895
12;Besi 6.3 mm;01/01/2023;-;-;-;88433
13;Besi 6.3 mm;01/02/2023;-;-;-;110000
14;Besi 6.3 mm;01/03/2023;-;-;-;99059
15;Besi 6.3 mm;01/04/2023;-;-;-;99562
16;Besi 6.3 mm;01/05/2023;-;-;-;103080
17;Besi 6.3 mm;01/06/2023;-;-;-;84463
18;Besi 6.3 mm;01/07/2023;-;-;-;83701
19;Besi 6.3 mm;01/08/2023;-;-;-;103362
20;Besi 6.3 mm;01/09/2023;-;-;-;94724
21;Besi 6.3 mm;01/10/2023;-;-;-;87621
22;Besi 6.3 mm;01/11/2023;-;-;-;89434
23;Besi 6.3 mm;01/12/2023;-;-;-;89445
24;Besi 6.3 mm;01/01/2024;-;-;-;93075
25;Besi 6.3 mm;01/02/2024;-;-;-;92854
26;Besi 6.3 mm;01/03/2024;-;-;-;76610
27;Besi 6.3 mm;01/04/2024;-;-;-;63565
28;Besi 6.3 mm;01/05/2024;-;-;-;62430
29;Besi 6.3 mm;01/06/2024;-;-;-;94477
30;Besi 6.3 mm;01/07/2024;-;-;-;93293
31;Besi 6.3 mm;01/08/2024;-;-;-;88749
32;Besi 6.3 mm;01/09/2024;-;-;-;88394
33;Besi 6.3 mm;01/10/2024;-;-;-;73310
34;Besi 6.3 mm;01/11/2024;-;-;-;60000
35;Besi 6.3 mm;01/12/2024;-;-;-;82934
36;Besi 6.3 mm;01/01/2025;-;-;-;80172
37;Besi 6.3 mm;01/02/2025;-;-;-;86233
38;Besi 6.3 mm;01/03/2025;-;-;-;79638
39;Besi 6.3 mm;01/04/2025;-;-;-;74535
40;Besi 6.3 mm;01/05/2025;-;-;-;67096
41;Besi 6.3 mm;01/06/2025;-;-;-;1
42;Besi 6.3 mm;01/07/2025;-;-;-;1
43;Besi 6.3 mm;01/08/2025;-;-;-;1
44;Besi 6.3 mm;01/09/2025;-;-;-;1
45;Besi 6.3 mm;01/10/2025;-;-;-;1
46;Besi 6.3 mm;01/11/2025;-;-;-;1
47;Besi 6.3 mm;01/12/2025;-;-;-;1
