No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Besi 6.3 mm;01/02/2022;-;-;-;76297
2;Besi 6.3 mm;01/03/2022;-;-;-;71392
3;Besi 6.3 mm;01/04/2022;-;-;-;76593
4;Besi 6.3 mm;01/05/2022;-;-;-;70730
5;Besi 6.3 mm;01/06/2022;-;-;-;82115
6;Besi 6.3 mm;01/07/2022;-;-;-;90547
7;Besi 6.3 mm;01/08/2022;-;-;-;79692
8;Besi 6.3 mm;01/09/2022;-;-;-;75534
9;Besi 6.3 mm;01/10/2022;-;-;-;74093
10;Besi 6.3 mm;01/11/2022;-;-;-;89395
11;Besi 6.3 mm;01/12/2022;-;-;-;85564
12;Besi 6.3 mm;01/01/2023;-;-;-;101014
13;Besi 6.3 mm;01/02/2023;-;-;-;89677
14;Besi 6.3 mm;01/03/2023;-;-;-;75757
15;Besi 6.3 mm;01/04/2023;-;-;-;83566
16;Besi 6.3 mm;01/05/2023;-;-;-;81092
17;Besi 6.3 mm;01/06/2023;-;-;-;88426
18;Besi 6.3 mm;01/07/2023;-;-;-;96407
19;Besi 6.3 mm;01/08/2023;-;-;-;78116
20;Besi 6.3 mm;01/09/2023;-;-;-;80538
21;Besi 6.3 mm;01/10/2023;-;-;-;82296
22;Besi 6.3 mm;01/11/2023;-;-;-;81593
23;Besi 6.3 mm;01/12/2023;-;-;-;87058
24;Besi 6.3 mm;01/01/2024;-;-;-;102000
25;Besi 6.3 mm;01/02/2024;-;-;-;80368
26;Besi 6.3 mm;01/03/2024;-;-;-;66755
27;Besi 6.3 mm;01/04/2024;-;-;-;65894
28;Besi 6.3 mm;01/05/2024;-;-;-;65000
29;Besi 6.3 mm;01/06/2024;-;-;-;66307
30;Besi 6.3 mm;01/07/2024;-;-;-;86508
31;Besi 6.3 mm;01/08/2024;-;-;-;75349
32;Besi 6.3 mm;01/09/2024;-;-;-;73715
33;Besi 6.3 mm;01/10/2024;-;-;-;77634
34;Besi 6.3 mm;01/11/2024;-;-;-;76984
35;Besi 6.3 mm;01/12/2024;-;-;-;80856
36;Besi 6.3 mm;01/01/2025;-;-;-;96921
37;Besi 6.3 mm;01/02/2025;-;-;-;78514
38;Besi 6.3 mm;01/03/2025;-;-;-;72359
39;Besi 6.3 mm;01/04/2025;-;-;-;76174
40;Besi 6.3 mm;01/05/2025;-;-;-;74975
41;Besi 6.3 mm;01/06/2025;-;-;-;78467
42;Besi 6.3 mm;01/07/2025;-;-;-;94946
43;Besi 6.3 mm;01/08/2025;-;-;-;87688
44;Besi 6.3 mm;01/09/2025;-;-;-;81443
45;Besi 6.3 mm;01/10/2025;-;-;-;79092
46;Besi 6.3 mm;01/11/2025;-;-;-;81438
47;Besi 6.3 mm;01/12/2025;-;-;-;80389
