No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Besi 6.3 mm;01/09/2021;-;-;-;68500
2;Besi 6.3 mm;01/10/2021;-;-;-;74200
3;Besi 6.3 mm;01/11/2021;-;-;-;69800
4;Besi 6.3 mm;01/12/2021;-;-;-;81200
5;Besi 6.3 mm;01/01/2022;-;-;-;83500
6;Besi 6.3 mm;01/02/2022;-;-;-;70200
7;Besi 6.3 mm;01/03/2022;-;-;-;96800
8;Besi 6.3 mm;01/04/2022;-;-;-;85400
9;Besi 6.3 mm;01/05/2022;-;-;-;72800
10;Besi 6.3 mm;01/06/2022;-;-;-;91200
11;Besi 6.3 mm;01/07/2022;-;-;-;84500
12;Besi 6.3 mm;01/08/2022;-;-;-;98800
13;Besi 6.3 mm;01/09/2022;-;-;-;82300
14;Besi 6.3 mm;01/10/2022;-;-;-;86700
15;Besi 6.3 mm;01/11/2022;-;-;-;71400
16;Besi 6.3 mm;01/12/2022;-;-;-;90500
17;Besi 6.3 mm;01/01/2023;-;-;-;87200
18;Besi 6.3 mm;01/02/2023;-;-;-;92350
19;Besi 6.3 mm;01/03/2023;-;-;-;111120
20;Besi 6.3 mm;01/04/2023;-;-;-;100540
21;Besi 6.3 mm;01/05/2023;-;-;-;102600
22;Besi 6.3 mm;01/06/2023;-;-;-;88250
23;Besi 6.3 mm;01/07/2023;-;-;-;95400
24;Besi 6.3 mm;01/08/2023;-;-;-;105100
25;Besi 6.3 mm;01/09/2023;-;-;-;88750
26;Besi 6.3 mm;01/10/2023;-;-;-;91200
27;Besi 6.3 mm;01/11/2023;-;-;-;98900
28;Besi 6.3 mm;01/12/2023;-;-;-;104500
29;Besi 6.3 mm;01/01/2024;-;-;-;91200
30;Besi 6.3 mm;01/02/2024;-;-;-;85800
31;Besi 6.3 mm;01/03/2024;-;-;-;102400
32;Besi 6.3 mm;01/04/2024;-;-;-;115600
33;Besi 6.3 mm;01/05/2024;-;-;-;92800
34;Besi 6.3 mm;01/06/2024;-;-;-;101300
35;Besi 6.3 mm;01/07/2024;-;-;-;94550
36;Besi 6.3 mm;01/08/2024;-;-;-;91200
37;Besi 6.3 mm;01/09/2024;-;-;-;108450
38;Besi 6.3 mm;01/10/2024;-;-;-;78900
39;Besi 6.3 mm;01/11/2024;-;-;-;105650
40;Besi 6.3 mm;01/12/2024;-;-;-;92100
41;Besi 6.3 mm;01/01/2025;-;-;-;88500
42;Besi 6.3 mm;01/02/2025;-;-;-;88565
43;Besi 6.3 mm;01/03/2025;-;-;-;98450
44;Besi 6.3 mm;01/04/2025;-;-;-;84200
45;Besi 6.3 mm;01/05/2025;-;-;-;102500
46;Besi 6.3 mm;01/06/2025;-;-;-;89220
47;Besi 6.3 mm;01/07/2025;-;-;-;83600
48;Besi 6.3 mm;01/08/2025;-;-;-;99300
49;Besi 6.3 mm;01/09/2025;-;-;-;96500
50;Besi 6.3 mm;01/10/2025;-;-;-;85780
51;Besi 6.3 mm;01/11/2025;-;-;-;99245
52;Besi 6.3 mm;01/12/2025;-;-;-;96040
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
