No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Cabai Rawit Merah;02/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;55000
2;Cabai Rawit Merah;02/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;50000
3;Cabai Rawit Merah;03/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;60000
4;Cabai Rawit Merah;03/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;50000
5;Cabai Rawit Merah;06/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;60000
6;Cabai Rawit Merah;06/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
7;Cabai Rawit Merah;07/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
8;Cabai Rawit Merah;07/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
9;Cabai Rawit Merah;08/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
10;Cabai Rawit Merah;08/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
11;Cabai Rawit Merah;09/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
12;Cabai Rawit Merah;09/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
13;Cabai Rawit Merah;10/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
14;Cabai Rawit Merah;10/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
15;Cabai Rawit Merah;13/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
16;Cabai Rawit Merah;13/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
17;Cabai Rawit Merah;14/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
18;Cabai Rawit Merah;14/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
19;Cabai Rawit Merah;15/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;85000
20;Cabai Rawit Merah;15/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
21;Cabai Rawit Merah;16/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;85000
22;Cabai Rawit Merah;16/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
23;Cabai Rawit Merah;17/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;85000
24;Cabai Rawit Merah;17/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
25;Cabai Rawit Merah;20/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;85000
26;Cabai Rawit Merah;20/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
27;Cabai Rawit Merah;21/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;100000
28;Cabai Rawit Merah;21/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;90000
29;Cabai Rawit Merah;22/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;100000
30;Cabai Rawit Merah;22/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;90000
31;Cabai Rawit Merah;23/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;100000
32;Cabai Rawit Merah;23/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;90000
33;Cabai Rawit Merah;24/01/2020;Jawa Barat;Kota Bandung;Pasar Kosambi;100000
34;Cabai Rawit Merah;24/01/2020;Jawa Barat;Kota Bandung;Pasar Kiara Condong;90000
