No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
165;Daging Ayam Ras Segar;03/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41000
166;Daging Ayam Ras Segar;03/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;39000
167;Daging Ayam Ras Segar;04/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41000
168;Daging Ayam Ras Segar;04/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;39500
169;Daging Ayam Ras Segar;05/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41000
170;Daging Ayam Ras Segar;05/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
171;Daging Ayam Ras Segar;06/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41000
172;Daging Ayam Ras Segar;06/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
173;Daging Ayam Ras Segar;07/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41000
174;Daging Ayam Ras Segar;07/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
175;Daging Ayam Ras Segar;10/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;42000
176;Daging Ayam Ras Segar;10/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;41500
177;Daging Ayam Ras Segar;11/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;45000
178;Daging Ayam Ras Segar;11/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;41500
179;Daging Ayam Ras Segar;17/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;44500
180;Daging Ayam Ras Segar;17/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40500
181;Daging Ayam Ras Segar;18/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;44500
182;Daging Ayam Ras Segar;18/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
183;Daging Ayam Ras Segar;19/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;43500
184;Daging Ayam Ras Segar;19/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
185;Daging Ayam Ras Segar;20/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41500
186;Daging Ayam Ras Segar;20/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;39000
187;Daging Ayam Ras Segar;21/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;41000
188;Daging Ayam Ras Segar;21/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;39000
189;Daging Ayam Ras Segar;24/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;39000
190;Daging Ayam Ras Segar;24/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;38000
191;Daging Ayam Ras Segar;25/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;39000
192;Daging Ayam Ras Segar;25/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;38000
193;Daging Ayam Ras Segar;27/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;39000
194;Daging Ayam Ras Segar;27/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;38000
195;Daging Ayam Ras Segar;28/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;39000
196;Daging Ayam Ras Segar;28/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;38000
197;Daging Ayam Ras Segar;31/05/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;39000
198;Daging Ayam Ras Segar;31/05/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;38000
199;Daging Ayam Ras Segar;02/06/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;38000
200;Daging Ayam Ras Segar;02/06/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;37500
