No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1103;Bawang Merah;01/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;51500
1104;Bawang Merah;01/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;50000
1121;Bawang Merah;02/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;51500
1122;Bawang Merah;02/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1139;Bawang Merah;04/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;51500
1140;Bawang Merah;04/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1157;Bawang Merah;05/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;51500
1158;Bawang Merah;05/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1175;Bawang Merah;08/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1176;Bawang Merah;08/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1193;Bawang Merah;09/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1194;Bawang Merah;09/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1211;Bawang Merah;10/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1212;Bawang Merah;10/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1229;Bawang Merah;11/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1230;Bawang Merah;11/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1247;Bawang Merah;12/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1248;Bawang Merah;12/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1265;Bawang Merah;15/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50500
1266;Bawang Merah;15/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1283;Bawang Merah;16/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50500
1284;Bawang Merah;16/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1301;Bawang Merah;18/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1302;Bawang Merah;18/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1319;Bawang Merah;22/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;48000
1320;Bawang Merah;22/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1337;Bawang Merah;23/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;47000
1338;Bawang Merah;23/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1355;Bawang Merah;24/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;45000
1356;Bawang Merah;24/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1373;Bawang Merah;25/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;45000
1374;Bawang Merah;25/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1391;Bawang Merah;26/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;45000
1392;Bawang Merah;26/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1409;Bawang Merah;29/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;45000
1410;Bawang Merah;29/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1427;Bawang Merah;30/04/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;45000
1428;Bawang Merah;30/04/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1445;Bawang Merah;02/05/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;41500
1446;Bawang Merah;02/05/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
1463;Bawang Merah;03/05/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;44000
1464;Bawang Merah;03/05/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;30000
1481;Bawang Merah;06/05/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;44000
1482;Bawang Merah;06/05/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;30000
1499;Bawang Merah;07/05/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;44000
1500;Bawang Merah;07/05/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;30000
1517;Bawang Merah;08/05/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;44000
1518;Bawang Merah;08/05/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;30000
1535;Bawang Merah;09/05/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;37500
1536;Bawang Merah;09/05/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;30000
