No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Bawang Merah;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;33500
2;Bawang Merah;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;32500
3;Bawang Merah;02/01/2019;Jawa Barat;Kota Depok;Pasar Agung;38000
4;Bawang Merah;02/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;30000
5;Bawang Merah;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;34500
6;Bawang Merah;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
7;Bawang Merah;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;28000
8;Bawang Merah;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
9;Bawang Merah;02/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;31000
10;Bawang Merah;02/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;33000
11;Bawang Merah;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;28000
12;Bawang Merah;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;28000
13;Bawang Merah;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;28000
14;Bawang Merah;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
15;Bawang Merah;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
16;Bawang Merah;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;28000
17;Bawang Merah;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
18;Bawang Merah;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;30000
19;Bawang Merah;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;33500
20;Bawang Merah;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;32500
21;Bawang Merah;03/01/2019;Jawa Barat;Kota Depok;Pasar Agung;42500
22;Bawang Merah;03/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;30000
23;Bawang Merah;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;34500
24;Bawang Merah;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
25;Bawang Merah;03/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;28000
26;Bawang Merah;03/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
27;Bawang Merah;03/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;31000
28;Bawang Merah;03/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;32500
29;Bawang Merah;03/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;28000
30;Bawang Merah;03/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;30000
31;Bawang Merah;03/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;27000
32;Bawang Merah;03/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;28000
33;Bawang Merah;03/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
34;Bawang Merah;03/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;28000
35;Bawang Merah;03/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26500
36;Bawang Merah;03/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;30000
37;Bawang Merah;04/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;33500
38;Bawang Merah;04/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;32500
39;Bawang Merah;04/01/2019;Jawa Barat;Kota Depok;Pasar Agung;40000
40;Bawang Merah;04/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;30000
41;Bawang Merah;04/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;36500
42;Bawang Merah;04/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27500
43;Bawang Merah;04/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;28000
44;Bawang Merah;04/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;26000
