No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;60000
2;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;50000
3;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Depok;Pasar Agung;52500
4;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;57500
5;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;75000
6;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
7;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;51500
8;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
9;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;65000
10;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;65000
11;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;69000
12;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
13;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;57500
14;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;61000
15;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
16;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
17;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;50000
18;Cabai Rawit Merah;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;47500
19;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;60000
20;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;57500
21;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Depok;Pasar Agung;52500
22;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;57500
23;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;67500
24;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;80000
25;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;51500
26;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;50000
27;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;60000
28;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;60000
29;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;69000
30;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;69000
31;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;52000
32;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;60000
33;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;69000
34;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
35;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;50000
36;Cabai Rawit Merah;03/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;55000
37;Cabai Rawit Merah;04/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;60000
38;Cabai Rawit Merah;04/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;57500
39;Cabai Rawit Merah;04/01/2019;Jawa Barat;Kota Depok;Pasar Agung;57500
40;Cabai Rawit Merah;04/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;52500
41;Cabai Rawit Merah;04/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;67500
