No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Telur Ayam;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26500
2;Telur Ayam;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
3;Telur Ayam;02/01/2019;Jawa Barat;Kota Depok;Pasar Agung;26250
4;Telur Ayam;02/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;27000
5;Telur Ayam;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;27000
6;Telur Ayam;02/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;26500
7;Telur Ayam;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25250
8;Telur Ayam;02/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25000
9;Telur Ayam;02/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;26500
10;Telur Ayam;02/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27500
11;Telur Ayam;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;25500
12;Telur Ayam;02/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;27000
13;Telur Ayam;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;26000
14;Telur Ayam;02/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;26500
15;Telur Ayam;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
16;Telur Ayam;02/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;27000
17;Telur Ayam;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25250
18;Telur Ayam;02/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;25000
19;Telur Ayam;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26500
20;Telur Ayam;03/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
21;Telur Ayam;03/01/2019;Jawa Barat;Kota Depok;Pasar Agung;26250
22;Telur Ayam;03/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;26000
23;Telur Ayam;03/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;27000
